repo,org,system_id,model,total_gpus,comm_intensity,comm_intensity_measured,comm_intensity_reason
training_results_v3.1,Dell,2xXE8640x4H100-SXM-80GB,dlrm_dcnv2,8,,False,repo_unavailable
training_results_v3.1,Dell,2xXE8640x4H100-SXM-80GB,ssd,8,,False,repo_unavailable
training_results_v3.1,Dell,2xXE8640x4H100-SXM-80GB,resnet,8,,False,repo_unavailable
training_results_v3.1,Dell,2xXE8640x4H100-SXM-80GB,bert,8,,False,repo_unavailable
training_results_v3.1,Dell,XE8640x4H100-SXM-80GB,ssd,4,,False,repo_unavailable
training_results_v3.1,Dell,XE8640x4H100-SXM-80GB,resnet,4,,False,repo_unavailable
training_results_v3.1,Dell,XE8640x4H100-SXM-80GB,bert,4,,False,repo_unavailable
training_results_v3.1,Dell,2xXE9680x8H100-SXM-80GB,ssd,16,,False,repo_unavailable
training_results_v3.1,Dell,2xXE9680x8H100-SXM-80GB,resnet,16,,False,repo_unavailable
training_results_v3.1,Dell,2xXE9680x8H100-SXM-80GB,bert,16,,False,repo_unavailable
training_results_v3.1,Dell,XE9680x8H100-SXM-80GB,dlrm_dcnv2,8,,False,repo_unavailable
training_results_v3.1,Dell,XE9680x8H100-SXM-80GB,ssd,8,,False,repo_unavailable
training_results_v3.1,Dell,XE9680x8H100-SXM-80GB,resnet,8,,False,repo_unavailable
training_results_v3.1,Dell,XE9680x8H100-SXM-80GB,bert,8,,False,repo_unavailable
training_results_v3.1,Dell,XE9680x8H100-SXM-80GB,stable_diffusion,8,,False,repo_unavailable
training_results_v3.1,Dell,XE9640x4H100-SXM-80GB,dlrm_dcnv2,4,,False,repo_unavailable
training_results_v3.1,Dell,XE9640x4H100-SXM-80GB,ssd,4,,False,repo_unavailable
training_results_v3.1,Dell,XE9640x4H100-SXM-80GB,resnet,4,,False,repo_unavailable
training_results_v3.1,Dell,XE9640x4H100-SXM-80GB,bert,4,,False,repo_unavailable
training_results_v3.1,Azure+NVIDIA,ND_H100_v5_n1344_pytorch,gpt3,10752,,False,repo_unavailable
training_results_v3.1,GigaComputing,G593-ZD2_mxnet,resnet,8,,False,repo_unavailable
training_results_v3.1,GigaComputing,G593-ZD2_hugectr,dlrm_dcnv2,8,,False,repo_unavailable
training_results_v3.1,GigaComputing,G593-ZD2_pytorch,ssd,8,,False,repo_unavailable
training_results_v3.1,GigaComputing,G593-ZD2_pytorch,bert,8,,False,repo_unavailable
training_results_v3.1,Ailiverse,8xA100_40GB_open,resnet,80,,False,repo_unavailable
training_results_v3.1,ASUSTeK,ESC8000-E11-8xH100-PCIE-80GB,dlrm_dcnv2,8,,False,repo_unavailable
