repo,org,system_id,gen,total_gpus,evidence_string,inferred_domain,confidence
training_results_v5.0,Supermicro,ARS-121GL-NBO_16,GB200,64,SRS-GB200-NVL72-M1 (16x ARS-121GL-NBO),72.0,high
training_results_v5.0,Supermicro,ARS-121GL-NBO_18,GB200,72,SRS-GB200-NVL72-M1 (18x ARS-121GL-NBO),72.0,high
training_results_v5.0,IBM+CoreWeave+NVIDIA,carina_ngpu512_ngc25.04_nemo,GB200,512,Carina (8x NVIDIA GB200 NVL72),72.0,high
training_results_v5.0,IBM+CoreWeave+NVIDIA,carina_ngpu1536_ngc25.04_nemo,GB200,1536,Carina (24x NVIDIA GB200 NVL72),72.0,high
training_results_v5.0,IBM+CoreWeave+NVIDIA,carina_ngpu1024_ngc25.04_nemo,GB200,1024,Carina (16x NVIDIA GB200 NVL72),72.0,high
training_results_v5.0,IBM+CoreWeave+NVIDIA,carina_ngpu2496_ngc25.04_nemo,GB200,2496,Carina (39x NVIDIA GB200 NVL72),72.0,high
training_results_v5.0,IBM+CoreWeave+NVIDIA,carina_ngpu2048_ngc25.04_nemo,GB200,2048,Carina (32x NVIDIA GB200 NVL72),72.0,high
training_results_v5.0,Oracle,18xBM.GPU.GB200.4,GB200,72,"config_GB200_18x4x1xtp1pp1cp8.sh (node-shape token 'x4x' = accelerators-per-node, NOT rack-fabric domain size)",,low
training_results_v5.0,Oracle,2xBM.GPU.GB200.4,GB200,8,"config_GB200_18x4x1xtp1pp1cp8.sh (node-shape token 'x4x' = accelerators-per-node, NOT rack-fabric domain size)",,low
training_results_v5.0,Oracle,1xBM.GPU.GB200.4,GB200,4,"config_GB200_18x4x1xtp1pp1cp8.sh (node-shape token 'x4x' = accelerators-per-node, NOT rack-fabric domain size)",,low
training_results_v5.0,Dell,4xXE9712x4GB200,GB200,16,"config_GB200_18x4x1024.sh (node-shape token 'x4x' = accelerators-per-node, NOT rack-fabric domain size)",,low
training_results_v5.0,Dell,9xXE9712x4GB200,GB200,36,"config_GB200_18x4x1024.sh (node-shape token 'x4x' = accelerators-per-node, NOT rack-fabric domain size)",,low
